DateTime, Active Energy Import (kWh)
15/03/2023 20:00:00, 0.877
15/03/2023 20:30:00, 0.87
15/03/2023 21:00:00, 0.263
15/03/2023 21:30:00, 0.151
15/03/2023 22:00:00, 0.446
15/03/2023 22:30:00, 0.342
15/03/2023 23:00:00, 0.316
15/03/2023 23:30:00, 0.263
16/03/2023 00:00:00, 0.148
16/03/2023 00:30:00, 0.396
16/03/2023 01:00:00, 0.419
16/03/2023 01:30:00, 0.165
16/03/2023 02:00:00, 0.107
16/03/2023 02:30:00, 0.411
16/03/2023 03:00:00, 0.257
16/03/2023 03:30:00, 0.06
16/03/2023 04:00:00, 0.068
16/03/2023 04:30:00, 0.44
16/03/2023 05:00:00, 0.138
16/03/2023 05:30:00, 0.067
16/03/2023 06:00:00, 0.048
16/03/2023 06:30:00, 0.472
16/03/2023 07:00:00, 0.123
16/03/2023 07:30:00, 0.178
16/03/2023 08:00:00, 0.106
16/03/2023 08:30:00, 0.216
16/03/2023 09:00:00, 0.37
16/03/2023 09:30:00, 0.074
16/03/2023 10:00:00, 0.484
16/03/2023 10:30:00, 0.082
16/03/2023 11:00:00, 0.052
16/03/2023 11:30:00, 0.069
16/03/2023 12:00:00, 0.037
16/03/2023 12:30:00, 0.043
16/03/2023 13:00:00, 0.052
16/03/2023 13:30:00, 0.438
16/03/2023 14:00:00, 0.594
16/03/2023 14:30:00, 0.763
16/03/2023 15:00:00, 0.562
16/03/2023 15:30:00, 0.304
16/03/2023 16:00:00, 0.055
16/03/2023 16:30:00, 0.078
16/03/2023 17:00:00, 0.052
16/03/2023 17:30:00, 0.064
16/03/2023 18:00:00, 0.198
16/03/2023 18:30:00, 0.374
16/03/2023 19:00:00, 0.529
16/03/2023 19:30:00, 0.976
16/03/2023 20:00:00, 1.057
16/03/2023 20:30:00, 0.309
16/03/2023 21:00:00, 0.227
16/03/2023 21:30:00, 0.139
16/03/2023 22:00:00, 0.493
16/03/2023 22:30:00, 0.362
16/03/2023 23:00:00, 0.12
16/03/2023 23:30:00, 0.133
17/03/2023 00:00:00, 0.331
17/03/2023 00:30:00, 0.471
17/03/2023 01:00:00, 0.17
17/03/2023 01:30:00, 0.25
